trt,rep,nozzle.spacing,boom.height,pressure,nozzle,solution.name,density,viscosity,surface.tension,cv
1,1,20,24,40,TTI11004,water,0.99876,1.006,72.47,3.708326435
1,2,20,24,40,TTI11004,water,0.99877,1.008,73.5,4.019630072
1,3,20,24,40,TTI11004,water,0.99877,1.007,72.79,4.201670875
2,1,20,30,40,TTI11004,water,0.99876,1.006,72.47,2.890456612
2,2,20,30,40,TTI11004,water,0.99877,1.008,73.5,3.596435994
2,3,20,30,40,TTI11004,water,0.99877,1.007,72.79,3.974539996
3,1,30,24,40,TTI11004,water,0.99876,1.006,72.47,5.858319878
3,2,30,24,40,TTI11004,water,0.99877,1.008,73.5,7.999408596
3,3,30,24,40,TTI11004,water,0.99877,1.007,72.79,8.167692651
4,1,30,30,40,TTI11004,water,0.99876,1.006,72.47,7.335049465
4,2,30,30,40,TTI11004,water,0.99877,1.008,73.5,7.976050414
4,3,30,30,40,TTI11004,water,0.99877,1.007,72.79,8.131181628
5,1,20,24,40,TDXL11004-D,water,0.99876,1.006,72.47,8.352607132
5,2,20,24,40,TDXL11004-D,water,0.99877,1.008,73.5,11.37782788
5,3,20,24,40,TDXL11004-D,water,0.99877,1.007,72.79,10.67110266
6,1,20,30,40,TDXL11004-D,water,0.99876,1.006,72.47,9.549015257
6,2,20,30,40,TDXL11004-D,water,0.99877,1.008,73.5,10.23846504
6,3,20,30,40,TDXL11004-D,water,0.99877,1.007,72.79,10.40281065
7,1,30,24,40,TDXL11004-D,water,0.99876,1.006,72.47,12.77377881
7,2,30,24,40,TDXL11004-D,water,0.99877,1.008,73.5,15.37873371
7,3,30,24,40,TDXL11004-D,water,0.99877,1.007,72.79,15.50035585
8,1,30,30,40,TDXL11004-D,water,0.99876,1.006,72.47,13.38381501
8,2,30,30,40,TDXL11004-D,water,0.99877,1.008,73.5,14.92703561
8,3,30,30,40,TDXL11004-D,water,0.99877,1.007,72.79,15.2130276
9,1,20,24,40,ULD 120-04,water,0.99876,1.006,72.47,7.413838282
9,2,20,24,40,ULD 120-04,water,0.99877,1.008,73.5,7.926589276
9,3,20,24,40,ULD 120-04,water,0.99877,1.007,72.79,8.169754199
10,1,20,30,40,ULD 120-04,water,0.99876,1.006,72.47,5.671015247
10,2,20,30,40,ULD 120-04,water,0.99877,1.008,73.5,6.269914061
10,3,20,30,40,ULD 120-04,water,0.99877,1.007,72.79,6.859862404
11,1,30,24,40,ULD 120-04,water,0.99876,1.006,72.47,5.863469486
11,2,30,24,40,ULD 120-04,water,0.99877,1.008,73.5,5.991117503
11,3,30,24,40,ULD 120-04,water,0.99877,1.007,72.79,6.890056597
12,1,30,30,40,ULD 120-04,water,0.99876,1.006,72.47,7.643663221
12,2,30,30,40,ULD 120-04,water,0.99877,1.008,73.5,7.287257705
12,3,30,30,40,ULD 120-04,water,0.99877,1.007,72.79,7.450587355
13,1,20,24,20,TTI11004,water,0.99876,1.006,72.47,9.522704932
13,2,20,24,20,TTI11004,water,0.99877,1.008,73.5,7.557473268
13,3,20,24,20,TTI11004,water,0.99877,1.007,72.79,7.444170103
14,1,20,30,20,TTI11004,water,0.99876,1.006,72.47,8.655242057
14,2,20,30,20,TTI11004,water,0.99877,1.008,73.5,3.77882049
14,3,20,30,20,TTI11004,water,0.99877,1.007,72.79,3.785162954
15,1,30,24,20,TTI11004,water,0.99876,1.006,72.47,10.71343858
15,2,30,24,20,TTI11004,water,0.99877,1.008,73.5,8.431824828
15,3,30,24,20,TTI11004,water,0.99877,1.007,72.79,8.171885696
16,1,30,30,20,TTI11004,water,0.99876,1.006,72.47,5.31963068
16,2,30,30,20,TTI11004,water,0.99877,1.008,73.5,4.695767024
16,3,30,30,20,TTI11004,water,0.99877,1.007,72.79,4.582652551
17,1,20,24,20,TDXL11004-D,water,0.99876,1.006,72.47,15.87618944
17,2,20,24,20,TDXL11004-D,water,0.99877,1.008,73.5,17.69347407
17,3,20,24,20,TDXL11004-D,water,0.99877,1.007,72.79,17.66759313
18,1,20,30,20,TDXL11004-D,water,0.99876,1.006,72.47,8.5080664
18,2,20,30,20,TDXL11004-D,water,0.99877,1.008,73.5,7.92665515
18,3,20,30,20,TDXL11004-D,water,0.99877,1.007,72.79,8.55488396
19,1,30,24,20,TDXL11004-D,water,0.99876,1.006,72.47,20.44893189
19,2,30,24,20,TDXL11004-D,water,0.99877,1.008,73.5,8.250624673
19,3,30,24,20,TDXL11004-D,water,0.99877,1.007,72.79,22.9148611
