solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
water,1,AI80,0.3,20,1,533.06,963.04,1370.51,0.87,0.32,0.99871,1.001,7.78,769,
water,1,AI80,0.3,20,2,528.16,960.6,1360,0.87,0.35,0.99872,1,7.81,771,
water,1,AI80,0.3,20,3,531.4,967.17,1367.98,0.86,0.35,0.99872,1,7.77,774,
water,1,AI110,0.3,20,1,445.82,819.07,1160.67,0.87,0.75,0.99871,1.001,7.78,769,
water,1,AI110,0.3,20,2,448.2,825.14,1159.88,0.86,0.77,0.99872,1,7.81,771,
water,1,AI110,0.3,20,3,440.58,822.02,1165.28,0.88,0.79,0.99872,1,7.77,774,
water,1,AI80,0.5,20,1,510.39,940.31,1344.46,0.89,0.42,0.99871,1.001,7.78,769,
water,1,AI80,0.5,20,2,513.06,938.3,1336.46,0.88,0.4,0.99872,1,7.81,771,
water,1,AI80,0.5,20,3,508.66,934.51,1330.49,0.88,0.42,0.99872,1,7.77,774,
water,1,TADFD,0.3,20,1,570.49,994.62,1370.66,0.8,0.22,0.99871,1.001,7.78,769,
water,1,TADFD,0.3,20,2,555.76,976.58,1343.04,0.81,0.24,0.99872,1,7.81,771,
water,1,TADFD,0.3,20,3,557.56,982.95,1355.53,0.81,0.23,0.99872,1,7.77,774,
water,1,TADFD,0.6,20,1,551.31,1016.9,1419.59,0.85,0.31,0.99871,1.001,7.78,769,
water,1,TADFD,0.6,20,2,546.55,1004.52,1402.86,0.85,0.32,0.99872,1,7.81,771,
water,1,TADFD,0.6,20,3,543.49,1004.8,1406.58,0.86,0.33,0.99872,1,7.77,774,
water,1,TDXLD,0.3,20,1,535.37,964.85,1338.86,0.83,0.24,0.99871,1.001,7.78,769,
water,1,TDXLD,0.3,20,2,531.71,967.6,1343.71,0.84,0.25,0.99872,1,7.81,771,
water,1,TDXLD,0.3,20,3,529.44,965.7,1343.14,0.84,0.31,0.99872,1,7.77,774,
water,1,TDXLD,0.4,20,1,578.02,1030.79,1450.86,0.85,0.16,0.99871,1.001,7.78,769,
water,1,TDXLD,0.4,20,2,578.29,1034.63,1454.44,0.85,0.17,0.99872,1,7.81,771,
water,1,TDXLD,0.4,20,3,578.52,1032.78,1445.67,0.84,0.19,0.99872,1,7.77,774,
water,1,TDXLD,0.5,20,1,630.98,1131.73,1604.59,0.86,0.12,0.99871,1.001,7.78,769,
water,1,TDXLD,0.5,20,2,624.75,1119,1575.73,0.85,0.15,0.99872,1,7.81,771,
water,1,TDXLD,0.5,20,3,624.39,1112.56,1548.87,0.83,0.15,0.99872,1,7.77,774,
water,1,TDXLD,0.6,20,1,702.9,1233.27,1726.98,0.83,0.03,0.99871,1.001,7.78,769,
water,1,TDXLD,0.6,20,2,693.94,1210.2,1680.72,0.82,0.04,0.99872,1,7.81,771,
water,1,TDXLD,0.6,20,3,705.15,1232.2,1723.57,0.83,0.03,0.99872,1,7.77,774,
water,1,ULD,0.5,20,1,423.23,770.09,1159.03,0.96,0.8,0.99871,1.001,7.78,769,
water,1,ULD,0.5,20,2,416.5,763.75,1157.51,0.97,0.89,0.99872,1,7.81,771,
water,1,ULD,0.5,20,3,414.34,760.32,1143.66,0.96,0.9,0.99872,1,7.77,774,
water,1,ULD,0.4,20,1,488.37,871.7,1255.29,0.88,0.42,0.99871,1.001,7.78,769,
