nozzle spacing,boom height,pressure,nozzle,cv
20,24,40,TTI11004,4.59062257
20,24,40,TTI11004,4.485315403
20,24,40,TTI11004,3.584060421
20,30,40,TTI11004,3.764640038
20,30,40,TTI11004,4.523630735
20,30,40,TTI11004,4.409661312
30,24,40,TTI11004,8.085314482
30,24,40,TTI11004,5.97122994
30,24,40,TTI11004,4.082780372
30,30,40,TTI11004,9.046110268
30,30,40,TTI11004,4.97655904
30,30,40,TTI11004,4.157811192
20,24,20,TTI11004,5.31885326
20,24,20,TTI11004,4.846803937
20,24,20,TTI11004,4.736155554
20,30,20,TTI11004,2.988935055
20,30,20,TTI11004,2.519933581
20,30,20,TTI11004,2.975322929
30,24,20,TTI11004,6.912690607
30,24,20,TTI11004,5.613414548
30,24,20,TTI11004,6.12841713
30,30,20,TTI11004,4.094152263
30,30,20,TTI11004,3.939333338
30,30,20,TTI11004,4.21149691
20,24,40,TDXL11004-D,11.85481346
20,24,40,TDXL11004-D,10.81504578
20,24,40,TDXL11004-D,10.63461699
20,30,40,TDXL11004-D,15.18806013
20,30,40,TDXL11004-D,15.43968514
20,30,40,TDXL11004-D,15.27061171
30,24,40,TDXL11004-D,19.89558898
30,24,40,TDXL11004-D,19.9560155
30,24,40,TDXL11004-D,20.15045957
30,30,40,TDXL11004-D,15.36590079
30,30,40,TDXL11004-D,14.8447626
30,30,40,TDXL11004-D,14.88715527
20,24,20,TDXL11004-D,17.30499818
20,24,20,TDXL11004-D,17.20326971
20,24,20,TDXL11004-D,17.06276833
20,30,20,TDXL11004-D,10.81772373
20,30,20,TDXL11004-D,10.94603902
20,30,20,TDXL11004-D,11.00946414
30,24,20,TDXL11004-D,19.98308852
30,24,20,TDXL11004-D,18.91090449
30,24,20,TDXL11004-D,20.45625065
30,30,20,TDXL11004-D,26.32789495
30,30,20,TDXL11004-D,26.27657655
30,30,20,TDXL11004-D,26.1111794
20,24,40,ULD 120-04,8.546601813
20,24,40,ULD 120-04,5.705898233
20,24,40,ULD 120-04,5.817977975
20,30,40,ULD 120-04,7.897380891
20,30,40,ULD 120-04,4.590309196
20,30,40,ULD 120-04,4.446595081
30,24,40,ULD 120-04,8.770199833
30,24,40,ULD 120-04,7.592146842
30,24,40,ULD 120-04,7.483066525
30,30,40,ULD 120-04,6.027630998
30,30,40,ULD 120-04,4.923045441
30,30,40,ULD 120-04,4.82518296
20,24,20,ULD 120-04,9.008813528
20,24,20,ULD 120-04,9.083097028
20,24,20,ULD 120-04,9.375009922
20,30,20,ULD 120-04,9.856881029
20,30,20,ULD 120-04,10.59107794
20,30,20,ULD 120-04,10.65828975
30,24,20,ULD 120-04,19.86687779
30,24,20,ULD 120-04,19.44423641
30,24,20,ULD 120-04,19.90397664
30,30,20,ULD 120-04,9.827401204
30,30,20,ULD 120-04,9.900316887
30,30,20,ULD 120-04,10.17036194
