nozzle spacing,boom height,pressure,nozzle,cv
20,24,40,TTI11004,3.708326435
20,24,40,TTI11004,4.019630072
20,24,40,TTI11004,4.201670875
20,30,40,TTI11004,2.890456612
20,30,40,TTI11004,3.596435994
20,30,40,TTI11004,3.974539996
30,24,40,TTI11004,5.858319878
30,24,40,TTI11004,7.999408596
30,24,40,TTI11004,8.167692651
30,30,40,TTI11004,7.335049465
30,30,40,TTI11004,7.976050414
30,30,40,TTI11004,8.131181628
20,24,40,TDXL11004-D,8.352607132
20,24,40,TDXL11004-D,11.37782788
20,24,40,TDXL11004-D,10.67110266
20,30,40,TDXL11004-D,9.549015257
20,30,40,TDXL11004-D,10.23846504
20,30,40,TDXL11004-D,10.40281065
30,24,40,TDXL11004-D,12.77377881
30,24,40,TDXL11004-D,15.37873371
30,24,40,TDXL11004-D,15.50035585
30,30,40,TDXL11004-D,13.38381501
30,30,40,TDXL11004-D,14.92703561
30,30,40,TDXL11004-D,15.2130276
20,24,40,ULD 120-04,7.413838282
20,24,40,ULD 120-04,7.926589276
20,24,40,ULD 120-04,8.169754199
20,30,40,ULD 120-04,5.671015247
20,30,40,ULD 120-04,6.269914061
20,30,40,ULD 120-04,6.859862404
30,24,40,ULD 120-04,5.863469486
30,24,40,ULD 120-04,5.991117503
30,24,40,ULD 120-04,6.890056597
30,30,40,ULD 120-04,7.643663221
30,30,40,ULD 120-04,7.287257705
30,30,40,ULD 120-04,7.450587355
20,24,20,TTI11004,9.522704932
20,24,20,TTI11004,7.557473268
20,24,20,TTI11004,7.444170103
20,30,20,TTI11004,8.655242057
20,30,20,TTI11004,3.77882049
20,30,20,TTI11004,3.785162954
30,24,20,TTI11004,10.71343858
30,24,20,TTI11004,8.431824828
30,24,20,TTI11004,8.171885696
30,30,20,TTI11004,5.31963068
30,30,20,TTI11004,4.695767024
30,30,20,TTI11004,4.582652551
20,24,20,TDXL11004-D,15.87618944
20,24,20,TDXL11004-D,17.69347407
20,24,20,TDXL11004-D,17.66759313
20,30,20,TDXL11004-D,8.5080664
20,30,20,TDXL11004-D,7.92665515
20,30,20,TDXL11004-D,8.55488396
30,24,20,TDXL11004-D,20.44893189
30,24,20,TDXL11004-D,8.250624673
30,24,20,TDXL11004-D,22.9148611
30,30,20,TDXL11004-D,27.69807638
30,30,20,TDXL11004-D,23.53248431
30,30,20,TDXL11004-D,26.88631262
20,24,20,ULD 120-04,4.288226036
20,24,20,ULD 120-04,5.887377779
20,24,20,ULD 120-04,6.301065953
20,30,20,ULD 120-04,7.907458541
20,30,20,ULD 120-04,9.482538853
20,30,20,ULD 120-04,9.234369087
30,24,20,ULD 120-04,9.442946011
30,24,20,ULD 120-04,9.600988534
30,24,20,ULD 120-04,10.12608831
30,30,20,ULD 120-04,12.77067449
30,30,20,ULD 120-04,7.569253357
30,30,20,ULD 120-04,7.951549852
